id,embedding
6086,"[1.1767038106918335, 1.125382661819458, 0.9359442591667175, 1.0401453971862793, 0.968953013420105, 0.27742838859558105, 1.0529881715774536, 0.9221200942993164, 0.737754225730896, 1.1204115152359009, 0.9487388134002686, 1.038296103477478, 0.6105892062187195, 1.1840698719024658, 0.28751474618911743, 1.0687679052352905]"
7330,"[-0.790127158164978, -0.5225310325622559, 3.1939690113067627, -0.7914996147155762, -0.8126538991928101, 0.9145368337631226, -0.5949352383613586, -0.8941062092781067, 2.5637521743774414, -0.7504094243049622, -0.7823599576950073, -0.7087198495864868, 2.38716197013855, -0.5760093331336975, 2.5707848072052, -0.6008880138397217]"
3178,"[-0.9641340970993042, -0.6696515083312988, 3.5792224407196045, -0.9710994958877563, -0.9821617603302002, 1.0318318605422974, -0.7443262934684753, -1.0727941989898682, 2.8591582775115967, -0.9340357780456543, -0.9368433952331543, -0.8670821189880371, 2.678910970687866, -0.7383696436882019, 2.9102511405944824, -0.7728811502456665]"
6751,"[0.7601737976074219, 0.7042755484580994, 0.9882223010063171, 0.6388827562332153, 0.6045252680778503, 0.306868314743042, 0.6706816554069519, 0.5714713335037231, 0.7866721153259277, 0.6727995276451111, 0.605735182762146, 0.6716574430465698, 0.6601393818855286, 0.776500940322876, 0.45518940687179565, 0.7036622166633606]"
4751,"[0.14711304008960724, 0.21241642534732819, 1.1840507984161377, 0.1057397872209549, 0.09376569092273712, 0.3464059829711914, 0.1718100607395172, 0.0490863174200058, 0.9621691703796387, 0.12067493796348572, 0.09411194920539856, 0.15027981996536255, 0.8654037117958069, 0.23173052072525024, 0.7611913084983826, 0.20131175220012665]"
5755,"[-0.34165725111961365, -0.20311349630355835, 2.4871764183044434, -0.40153488516807556, -0.3998633325099945, 0.7305481433868408, -0.25108420848846436, -0.4712100625038147, 1.977290391921997, -0.383821964263916, -0.36456993222236633, -0.3147660195827484, 1.8236660957336426, -0.21269184350967407, 1.8978254795074463, -0.2573753893375397]"
4515,"[0.47013139724731445, 0.5006577372550964, 2.340139150619507, 0.3243695795536041, 0.28330034017562866, 0.7057774662971497, 0.42941737174987793, 0.22807852923870087, 1.8562110662460327, 0.40632280707359314, 0.29934149980545044, 0.3921385705471039, 1.6469038724899292, 0.542539119720459, 1.5784826278686523, 0.43637752532958984]"
431,"[0.960663914680481, 0.9012540578842163, 1.6366703510284424, 0.7776994705200195, 0.7267887592315674, 0.5131323933601379, 0.838071346282959, 0.6934059858322144, 1.2942297458648682, 0.8673696517944336, 0.7404849529266357, 0.8263260126113892, 1.0941118001937866, 0.9727418422698975, 0.9127920269966125, 0.8658004999160767]"
4913,"[1.2868778705596924, 1.1838587522506714, 1.6121385097503662, 1.0829250812530518, 1.0102367401123047, 0.5254788398742676, 1.143532633781433, 0.954850435256958, 1.311429738998413, 1.1866852045059204, 1.0321502685546875, 1.1170073747634888, 1.0492340326309204, 1.2730166912078857, 0.8223110437393188, 1.1586493253707886]"
2861,"[-0.022954285144805908, 0.08534957468509674, 1.6984167098999023, -0.06750139594078064, -0.0875338613986969, 0.49189454317092896, 0.025995299220085144, -0.1370234340429306, 1.3652362823486328, -0.02987082302570343, -0.07459118962287903, -0.006238996982574463, 1.2535980939865112, 0.08489587903022766, 1.2059884071350098, 0.05140164494514465]"
3006,"[-0.5577056407928467, -0.3760093152523041, 2.468597650527954, -0.5753636360168457, -0.5765185356140137, 0.7112998366355896, -0.42726659774780273, -0.6421670317649841, 1.9755998849868774, -0.5737202167510986, -0.5428321361541748, -0.4952864348888397, 1.835458755493164, -0.40184420347213745, 1.9383695125579834, -0.4274728000164032]"
803,"[0.792141318321228, 0.7435643076896667, 1.37017822265625, 0.6433656215667725, 0.6125859022140503, 0.4328940212726593, 0.6954155564308167, 0.5787675976753235, 1.089239478111267, 0.7009032368659973, 0.6148239374160767, 0.694590151309967, 0.928058385848999, 0.8129593133926392, 0.7448753118515015, 0.719871997833252]"
1097,"[0.5622587203979492, 0.5405818819999695, 0.8526219129562378, 0.4671158194541931, 0.4544624388217926, 0.2614588141441345, 0.5057454109191895, 0.4255101680755615, 0.6848905682563782, 0.48586052656173706, 0.45106780529022217, 0.5090171098709106, 0.5755399465560913, 0.5974400043487549, 0.39737480878829956, 0.5362306833267212]"
5538,"[-0.010536253452301025, 0.09801945090293884, 1.2551772594451904, -0.028998106718063354, -0.04430735111236572, 0.34991878271102905, 0.051901936531066895, -0.08789186179637909, 1.0202295780181885, -0.002500489354133606, -0.043671876192092896, 0.013018429279327393, 0.9308585524559021, 0.1069430410861969, 0.8600561022758484, 0.08665946125984192]"
5705,"[0.5589554309844971, 0.5792781114578247, 0.8586681485176086, 0.49300575256347656, 0.456209659576416, 0.24286118149757385, 0.5325883030891418, 0.41843080520629883, 0.7079341411590576, 0.5498039722442627, 0.43072569370269775, 0.5080785751342773, 0.5911682844161987, 0.6336824893951416, 0.408038854598999, 0.5859352350234985]"
5131,"[-0.6490060091018677, -0.420105904340744, 3.010894298553467, -0.6642231941223145, -0.6824030876159668, 0.8634471297264099, -0.4948209524154663, -0.7490125894546509, 2.415067434310913, -0.6416915655136108, -0.6497405767440796, -0.5781732797622681, 2.221785068511963, -0.4672631025314331, 2.396385908126831, -0.48556193709373474]"
6517,"[0.017069488763809204, 0.1271139532327652, 1.8607795238494873, -0.03557679057121277, -0.06036636233329773, 0.5436286330223083, 0.06949810683727264, -0.11657710373401642, 1.5015958547592163, 0.010533764958381653, -0.05149585008621216, 0.017008662223815918, 1.368762493133545, 0.1324269026517868, 1.3207037448883057, 0.08613961935043335]"
4383,"[-0.40718045830726624, -0.21903207898139954, 2.1676385402679443, -0.41280224919319153, -0.4294385612010956, 0.613762617111206, -0.2819748520851135, -0.48922866582870483, 1.74716317653656, -0.38376909494400024, -0.4115844666957855, -0.3470761477947235, 1.6174811124801636, -0.2503055930137634, 1.6725938320159912, -0.26406267285346985]"
597,"[-1.0769110918045044, -0.754583477973938, 2.891726493835449, -1.0249279737472534, -1.027175784111023, 0.8055444359779358, -0.8263773322105408, -1.089799165725708, 2.322039842605591, -0.9971511363983154, -0.9938012361526489, -0.9355506896972656, 2.177091121673584, -0.832560122013092, 2.413755178451538, -0.8205702304840088]"
691,"[0.056400373578071594, 0.14227311313152313, 1.1883156299591064, 0.028709203004837036, 0.015098407864570618, 0.33837994933128357, 0.09832228720188141, -0.02831391990184784, 0.9670987725257874, 0.04569905996322632, 0.01836639642715454, 0.07172396779060364, 0.8801092505455017, 0.1544431895017624, 0.7852941155433655, 0.1309020221233368]"
3333,"[0.3352099061012268, 0.381234347820282, 1.1795647144317627, 0.2699304223060608, 0.24666060507297516, 0.340667188167572, 0.3296928107738495, 0.20371446013450623, 0.964192271232605, 0.3113865256309509, 0.24235953390598297, 0.310554563999176, 0.8463593125343323, 0.4091620445251465, 0.7063910961151123, 0.37121906876564026]"
1184,"[0.5516892671585083, 0.5302179455757141, 0.8296378254890442, 0.4574856758117676, 0.44435763359069824, 0.24908217787742615, 0.498782753944397, 0.41406935453414917, 0.6634769439697266, 0.48247504234313965, 0.4412817656993866, 0.49584460258483887, 0.5595697164535522, 0.5922980904579163, 0.38041573762893677, 0.5294060111045837]"
7124,"[0.28795987367630005, 0.33635789155960083, 1.1160151958465576, 0.24342912435531616, 0.21578551828861237, 0.3266647160053253, 0.29372942447662354, 0.16830697655677795, 0.9110321402549744, 0.26523590087890625, 0.20378249883651733, 0.26636794209480286, 0.8095551133155823, 0.37133553624153137, 0.6671589016914368, 0.33183690905570984]"
3060,"[2.0406455993652344, 1.8349707126617432, 0.64065021276474, 1.8231638669967651, 1.7052167654037476, 0.24595320224761963, 1.7552121877670288, 1.715532660484314, 0.49316680431365967, 1.9475479125976562, 1.6905038356781006, 1.7975000143051147, 0.27681562304496765, 2.012458086013794, -0.13587825000286102, 1.834518551826477]"
2048,"[1.957034945487976, 1.715311050415039, 0.46539634466171265, 1.765147089958191, 1.6274431943893433, 0.1726776361465454, 1.6651631593704224, 1.635968565940857, 0.38266175985336304, 1.8897554874420166, 1.6168748140335083, 1.7123669385910034, 0.1910208761692047, 1.895967960357666, -0.24482709169387817, 1.7867473363876343]"
5450,"[-0.245601624250412, -0.1205642819404602, 2.6198673248291016, -0.3311978280544281, -0.32661208510398865, 0.778290331363678, -0.1751604825258255, -0.39165592193603516, 2.0867626667022705, -0.31432217359542847, -0.29244670271873474, -0.2264818251132965, 1.9164186716079712, -0.13828465342521667, 1.9841282367706299, -0.1907324492931366]"
5182,"[0.19269098341464996, 0.24036720395088196, 1.340902328491211, 0.1658363938331604, 0.13232341408729553, 0.391693115234375, 0.22940002381801605, 0.08398465812206268, 1.0856119394302368, 0.14738741517066956, 0.1382318139076233, 0.18635571002960205, 0.947275698184967, 0.27459460496902466, 0.9114013314247131, 0.24422740936279297]"
6903,"[0.1394597738981247, 0.1949889361858368, 1.5738492012023926, 0.07321685552597046, 0.058541297912597656, 0.46266573667526245, 0.1527218222618103, 0.011415719985961914, 1.2577017545700073, 0.0909542441368103, 0.06892865896224976, 0.12382899224758148, 1.1312769651412964, 0.2238696664571762, 1.0629348754882812, 0.17629487812519073]"
6438,"[-0.4316253364086151, -0.2010992467403412, 3.3206710815429688, -0.47924402356147766, -0.5168898105621338, 0.962744414806366, -0.286848783493042, -0.6085665225982666, 2.6629767417907715, -0.3972039222717285, -0.505607008934021, -0.40548667311668396, 2.4508419036865234, -0.23357564210891724, 2.5745186805725098, -0.29238179326057434]"
5373,"[0.6004549264907837, 0.6119958162307739, 0.5435556173324585, 0.5468308925628662, 0.522131621837616, 0.15411856770515442, 0.5677613019943237, 0.4858686327934265, 0.46135151386260986, 0.5859679579734802, 0.48154616355895996, 0.5550566911697388, 0.3622121512889862, 0.6729604005813599, 0.14690881967544556, 0.6248666048049927]"
3701,"[0.25983041524887085, 0.3338516652584076, 1.273200273513794, 0.20916453003883362, 0.18180938065052032, 0.36123907566070557, 0.2824484705924988, 0.1347353607416153, 1.0403379201889038, 0.2625500559806824, 0.16870227456092834, 0.2416125237941742, 0.9219639897346497, 0.36043494939804077, 0.8043031692504883, 0.318580687046051]"
1599,"[0.27926206588745117, 0.33983102440834045, 1.1836624145507812, 0.2339322566986084, 0.20454683899879456, 0.33756425976753235, 0.2898651361465454, 0.1609157770872116, 0.9698952436447144, 0.2692457437515259, 0.18937841057777405, 0.2615772783756256, 0.8560013175010681, 0.37009289860725403, 0.7267868518829346, 0.3334757685661316]"
767,"[0.06700170040130615, 0.154848113656044, 2.2152438163757324, -0.006527528166770935, -0.036393433809280396, 0.65350741147995, 0.09616793692111969, -0.10508863627910614, 1.767273187637329, 0.025448933243751526, -0.026423156261444092, 0.04565143585205078, 1.5850492715835571, 0.18019095063209534, 1.5799579620361328, 0.11696396768093109]"
3786,"[1.5288152694702148, 1.380426287651062, 0.07844910025596619, 1.3716107606887817, 1.3249754905700684, 0.06127336993813515, 1.3428378105163574, 1.2925406694412231, 0.08988158404827118, 1.4630162715911865, 1.248337984085083, 1.3514084815979004, -0.05107850581407547, 1.5101704597473145, -0.4470788538455963, 1.4082527160644531]"
585,"[1.6434231996536255, 1.5112323760986328, -0.2761111855506897, 1.4797792434692383, 1.414657711982727, -0.09486475586891174, 1.4453699588775635, 1.4271905422210693, -0.20974481105804443, 1.6064597368240356, 1.3561369180679321, 1.4646636247634888, -0.3494727909564972, 1.6292827129364014, -0.7249227166175842, 1.541370153427124]"
2475,"[-0.42569246888160706, -0.26600584387779236, 2.8526570796966553, -0.48457959294319153, -0.4875871241092682, 0.8371058702468872, -0.3271733522415161, -0.5633730292320251, 2.2720961570739746, -0.47246336936950684, -0.4553409516811371, -0.38975176215171814, 2.0876686573028564, -0.2860037684440613, 2.205014228820801, -0.332367867231369]"
1661,"[-0.176230788230896, -0.03940996527671814, 2.057049036026001, -0.209490567445755, -0.23609673976898193, 0.5970504283905029, -0.09659405052661896, -0.29260534048080444, 1.6512839794158936, -0.18348677456378937, -0.20901450514793396, -0.14804229140281677, 1.5209566354751587, -0.05357438325881958, 1.5239527225494385, -0.08230921626091003]"
4247,"[0.18576639890670776, 0.23839467763900757, 1.052797555923462, 0.1518881767988205, 0.1304423063993454, 0.3043100833892822, 0.19449689984321594, 0.09113124012947083, 0.8627976775169373, 0.15851235389709473, 0.13252323865890503, 0.18897411227226257, 0.7720342874526978, 0.2572135627269745, 0.6465677618980408, 0.23983079195022583]"
2660,"[0.5175126791000366, 0.4998917579650879, 0.7439199686050415, 0.4262528121471405, 0.42337700724601746, 0.22384443879127502, 0.4695661664009094, 0.39232516288757324, 0.6015658378601074, 0.4454668164253235, 0.41913074254989624, 0.47354546189308167, 0.5026392340660095, 0.5538622140884399, 0.32327911257743835, 0.4993659257888794]"
4056,"[0.13572128117084503, 0.2135559320449829, 1.5060157775878906, 0.08448755741119385, 0.05847059190273285, 0.4400113523006439, 0.16172486543655396, 0.01070454716682434, 1.218912124633789, 0.1140410304069519, 0.06625428795814514, 0.13059072196483612, 1.1031898260116577, 0.22711081802845, 1.0067481994628906, 0.1854751706123352]"
4244,"[-0.7199188470840454, -0.4934547245502472, 2.9043097496032715, -0.728905200958252, -0.7345932722091675, 0.833615779876709, -0.5625396370887756, -0.8047154545783997, 2.3329532146453857, -0.7143591046333313, -0.7027592658996582, -0.6365361213684082, 2.1520330905914307, -0.5426968336105347, 2.3219096660614014, -0.5509040355682373]"
7492,"[-0.26817676424980164, -0.11836126446723938, 2.4061717987060547, -0.3099936544895172, -0.3282630145549774, 0.7068997621536255, -0.1866084188222885, -0.3963513970375061, 1.924033522605896, -0.2830163240432739, -0.3039000928401947, -0.24228522181510925, 1.7863696813583374, -0.12869185209274292, 1.8061583042144775, -0.18098238110542297]"
3424,"[1.9032269716262817, 1.7032065391540527, 0.6720184683799744, 1.7000644207000732, 1.591451644897461, 0.2418319582939148, 1.668110966682434, 1.552276611328125, 0.5187162756919861, 1.8726215362548828, 1.5436638593673706, 1.63916015625, 0.362944632768631, 1.896087646484375, -0.10658968985080719, 1.69931161403656]"
4499,"[0.5710939168930054, 0.5673996210098267, 1.2866096496582031, 0.46258509159088135, 0.43588191270828247, 0.3916204273700714, 0.5178647041320801, 0.3980463147163391, 1.0321146249771118, 0.5096865892410278, 0.4316199719905853, 0.5063942670822144, 0.8869181275367737, 0.6229313611984253, 0.729924738407135, 0.5461392402648926]"
2452,"[0.3610367476940155, 0.3749806582927704, 1.0563092231750488, 0.2927663326263428, 0.27378907799720764, 0.3138628900051117, 0.3387574553489685, 0.23352187871932983, 0.8530604839324951, 0.3105853497982025, 0.27637407183647156, 0.3279711902141571, 0.7463560104370117, 0.42111775279045105, 0.6023677587509155, 0.378536194562912]"
6641,"[0.03768037259578705, 0.11963558197021484, 1.0909011363983154, 0.015790238976478577, 0.0044007450342178345, 0.3093879222869873, 0.08059407770633698, -0.03617571294307709, 0.8898594379425049, 0.023779168725013733, 0.010099560022354126, 0.056224629282951355, 0.8121808767318726, 0.13450220227241516, 0.7134292125701904, 0.11410953104496002]"
5989,"[-0.34234097599983215, -0.1786797046661377, 1.8261287212371826, -0.34759387373924255, -0.357373982667923, 0.5159969925880432, -0.22902972996234894, -0.40992677211761475, 1.4752109050750732, -0.32846254110336304, -0.3387843668460846, -0.2866095006465912, 1.3689309358596802, -0.19620370864868164, 1.3859624862670898, -0.21148458123207092]"
3290,"[0.9583133459091187, 0.896199107170105, 0.6160553693771362, 0.8648748397827148, 0.8023554086685181, 0.18109488487243652, 0.8592066168785095, 0.7725079655647278, 0.4932909607887268, 0.9261929392814636, 0.7761987447738647, 0.8447635173797607, 0.3881060779094696, 1.012177586555481, 0.10864090919494629, 0.9221206903457642]"
2203,"[0.3288412094116211, 0.36421340703964233, 1.0473358631134033, 0.2777438461780548, 0.25251898169517517, 0.3089827597141266, 0.32214319705963135, 0.20801283419132233, 0.8544942140579224, 0.29834118485450745, 0.24439737200737, 0.30172911286354065, 0.7556547522544861, 0.40452975034713745, 0.6037082076072693, 0.3625388741493225]"
2890,"[0.40834131836891174, 0.42500054836273193, 1.2500083446502686, 0.3261093199253082, 0.29740503430366516, 0.37919965386390686, 0.3808581531047821, 0.25920289754867554, 1.0024913549423218, 0.3581513464450836, 0.3062809109687805, 0.3693721294403076, 0.8853779435157776, 0.46322154998779297, 0.7435621619224548, 0.4083317220211029]"
7853,"[0.05064624547958374, 0.11717639863491058, 1.4775855541229248, -0.0035296380519866943, -0.012165337800979614, 0.4334852397441864, 0.0752064436674118, -0.05729962885379791, 1.1875262260437012, 0.004552051424980164, 0.003098398447036743, 0.05581280589103699, 1.0783458948135376, 0.1319003850221634, 1.009835958480835, 0.09919285774230957]"
4916,"[-1.0182173252105713, -0.7261061668395996, 3.0309813022613525, -0.9864476919174194, -0.9889447689056396, 0.849670946598053, -0.7953682541847229, -1.0552688837051392, 2.4353253841400146, -0.9722468852996826, -0.9534887075424194, -0.8981019258499146, 2.262845993041992, -0.7903996109962463, 2.5044212341308594, -0.78877854347229]"
7528,"[-0.08073273301124573, 0.024699479341506958, 1.7876560688018799, -0.1212846040725708, -0.1376820206642151, 0.522033154964447, -0.025058910250663757, -0.1945093423128128, 1.4418187141418457, -0.10388593375682831, -0.12433725595474243, -0.0639197826385498, 1.3264211416244507, 0.0231054425239563, 1.2852070331573486, -0.00729408860206604]"
4157,"[0.6463650465011597, 0.6564213037490845, 1.773796796798706, 0.5237569808959961, 0.4710582494735718, 0.5239787101745605, 0.5864690542221069, 0.40581655502319336, 1.4432096481323242, 0.6043749451637268, 0.44482362270355225, 0.5564020872116089, 1.2661457061767578, 0.6953820586204529, 1.074587106704712, 0.6143009662628174]"
7443,"[-0.20851463079452515, -0.09056919813156128, 2.0497689247131348, -0.2506197392940521, -0.2608886659145355, 0.5954540371894836, -0.1379414051771164, -0.3198743462562561, 1.6401090621948242, -0.2441161721944809, -0.24076882004737854, -0.1869591772556305, 1.5013574361801147, -0.09003984928131104, 1.5221867561340332, -0.12515714764595032]"
4550,"[0.43620675802230835, 0.43163418769836426, 0.9124665260314941, 0.35396698117256165, 0.33917301893234253, 0.2722757160663605, 0.399281769990921, 0.3116520941257477, 0.7338172793388367, 0.3695065975189209, 0.34849855303764343, 0.3984668254852295, 0.6343503594398499, 0.4801938235759735, 0.4732831120491028, 0.4296726882457733]"
5758,"[-0.23649898171424866, -0.07880771160125732, 2.5887346267700195, -0.2890886962413788, -0.3097923696041107, 0.7601616382598877, -0.1553071290254593, -0.3856569528579712, 2.078305244445801, -0.2588919401168823, -0.2866889536380768, -0.2097092568874359, 1.914979100227356, -0.10660451650619507, 1.9433329105377197, -0.16395434737205505]"
3252,"[1.2002499103546143, 1.0866031646728516, 0.7366923093795776, 1.030338168144226, 0.9900224208831787, 0.2424318641424179, 1.0465049743652344, 0.9703678488731384, 0.5853139162063599, 1.1100784540176392, 0.9710325002670288, 1.0561612844467163, 0.42588889598846436, 1.196312427520752, 0.14921459555625916, 1.0867801904678345]"
1788,"[0.23338115215301514, 0.28746509552001953, 1.099231243133545, 0.18899747729301453, 0.16699522733688354, 0.3199082911014557, 0.24395780265331268, 0.1255519688129425, 0.8975586891174316, 0.20791077613830566, 0.16398119926452637, 0.2268352061510086, 0.8052005171775818, 0.3079211413860321, 0.6679788827896118, 0.2758323550224304]"
6544,"[0.0017441809177398682, 0.0975625216960907, 1.6339545249938965, -0.03857603669166565, -0.05926641821861267, 0.4753446578979492, 0.046066030859947205, -0.10697071254253387, 1.3174383640289307, -0.016157075762748718, -0.045085906982421875, 0.013378232717514038, 1.2009375095367432, 0.10438472032546997, 1.1427459716796875, 0.06991901993751526]"
5124,"[0.3250123858451843, 0.3321765661239624, 1.045353651046753, 0.24983391165733337, 0.24244922399520874, 0.3150414526462555, 0.3022366464138031, 0.2009509652853012, 0.8376844525337219, 0.2542803883552551, 0.24882882833480835, 0.29783058166503906, 0.7441282272338867, 0.371324360370636, 0.6018459796905518, 0.326662540435791]"
1207,"[0.6248332858085632, 0.5902864933013916, 0.5641846656799316, 0.5343316793441772, 0.52254319190979, 0.16992992162704468, 0.5608291029930115, 0.4977576732635498, 0.45497554540634155, 0.5526434183120728, 0.5136650800704956, 0.5689955949783325, 0.3637324273586273, 0.6537573337554932, 0.1580890417098999, 0.5995266437530518]"
5889,"[2.181297779083252, 1.9702813625335693, 0.03180775046348572, 1.9457123279571533, 1.8275378942489624, 0.028491143137216568, 1.8554394245147705, 1.883884310722351, 0.07572799921035767, 2.130216598510742, 1.711830735206604, 1.972604751586914, -0.16701918840408325, 2.133378505706787, -0.5860650539398193, 2.0578246116638184]"
6028,"[0.16485418379306793, 0.2368200123310089, 1.2000539302825928, 0.12694589793682098, 0.10515344142913818, 0.3425711393356323, 0.19326987862586975, 0.06143061816692352, 0.9770306348800659, 0.15416347980499268, 0.10243406891822815, 0.16133806109428406, 0.8768368363380432, 0.2619583010673523, 0.7694393396377563, 0.22967666387557983]"
1433,"[0.6351054906845093, 0.6279827356338501, 1.7945966720581055, 0.47783100605010986, 0.45551028847694397, 0.5563954710960388, 0.5639179348945618, 0.38988977670669556, 1.438624382019043, 0.565639853477478, 0.45116984844207764, 0.558887779712677, 1.2590299844741821, 0.6531959176063538, 1.120279312133789, 0.5887995958328247]"
5296,"[1.5810446739196777, 1.4349898099899292, -0.29708385467529297, 1.4470751285552979, 1.3891125917434692, -0.09117044508457184, 1.3939411640167236, 1.383053183555603, -0.17667889595031738, 1.5362149477005005, 1.2983263731002808, 1.4112168550491333, -0.3344569504261017, 1.5677063465118408, -0.7353528141975403, 1.5073705911636353]"
952,"[0.8508139848709106, 0.7936856746673584, 0.5019012689590454, 0.7440630197525024, 0.7185916304588318, 0.155449777841568, 0.7558323740959167, 0.6965186595916748, 0.4111783504486084, 0.7876310348510742, 0.6954841613769531, 0.7647649049758911, 0.29298898577690125, 0.8786610960960388, 0.054686278104782104, 0.8071897029876709]"
4866,"[0.13367487490177155, 0.1937549114227295, 1.2815768718719482, 0.08434891700744629, 0.07442015409469604, 0.3721659183502197, 0.1547623872756958, 0.028227418661117554, 1.0358314514160156, 0.0950084924697876, 0.07824718952178955, 0.13085827231407166, 0.928846001625061, 0.21710340678691864, 0.8383223414421082, 0.1828826516866684]"
6611,"[-0.17249545454978943, -0.03907939791679382, 1.5900819301605225, -0.18929827213287354, -0.20122933387756348, 0.45053574442863464, -0.08829472959041595, -0.25116586685180664, 1.2871445417404175, -0.16774819791316986, -0.19060447812080383, -0.13483533263206482, 1.1883018016815186, -0.045103102922439575, 1.1584696769714355, -0.06571221351623535]"
4547,"[0.5930330753326416, 0.5639983415603638, 0.8727188110351562, 0.4927041232585907, 0.4718107581138611, 0.2755129933357239, 0.5249122977256775, 0.44787171483039856, 0.6934423446655273, 0.5139353275299072, 0.48303213715553284, 0.540804386138916, 0.5933209657669067, 0.6137360334396362, 0.39969128370285034, 0.5578275918960571]"
